     beta1    lambda1      beta2    lambda2     gamma1         K1         h1     gamma2         K2         h2
    1.0537    -1.6565     1.3479    -1.6100    -1.0144     0.7098     0.2853   -13.8899     2.1237     0.3015
    1.0645    -1.6439     1.3512    -1.6056    -1.0109     0.7119     0.2854   -17.7822     2.1232     0.3091
    1.0478    -1.6613     1.3534    -1.6013    -1.0138     0.7096     0.2847   -11.5058     2.1272     0.3093
    1.0517    -1.6595     1.3575    -1.5924    -1.0197     0.7099     0.2761   -12.1958     2.1385     0.3167
    1.0541    -1.6584     1.3533    -1.5984    -1.0221     0.7145     0.2767   -15.3762     2.1324     0.3134
    1.0581    -1.6544     1.3558    -1.5945    -1.0224     0.7155     0.2750   -12.4561     2.1342     0.3177
    1.0614    -1.6510     1.3483    -1.6128    -1.0151     0.7189     0.2835   -13.3563     2.1145     0.3006
    1.0493    -1.6614     1.3563    -1.5952    -1.0195     0.7118     0.2795   -12.1846     2.1320     0.3142
    1.0618    -1.6493     1.3515    -1.6018    -1.0181     0.7144     0.2787   -15.8948     2.1288     0.3139
    1.0505    -1.6584     1.3496    -1.6024    -1.0171     0.7074     0.2789   -12.3856     2.1343     0.3133
    1.0527    -1.6552     1.3502    -1.6041    -1.0114     0.7081     0.2837   -13.4512     2.1301     0.3116
    1.0514    -1.6580     1.3491    -1.6047    -1.0151     0.7101     0.2796   -11.6173     2.1290     0.3127
    1.0539    -1.6549     1.3475    -1.6072    -1.0149     0.7096     0.2830   -13.5978     2.1277     0.3086
    1.0553    -1.6568     1.3522    -1.6031    -1.0166     0.7144     0.2818   -13.5974     2.1261     0.3093
    1.0513    -1.6592     1.3517    -1.5997    -1.0175     0.7094     0.2787   -11.4639     2.1348     0.3152
    1.0561    -1.6546     1.3393    -1.6178    -1.0155     0.7140     0.2838   -12.1910     2.1218     0.3063
    1.0630    -1.6506     1.3566    -1.5936    -1.0252     0.7161     0.2735   -17.7639     2.1352     0.3164
    1.0589    -1.6491     1.3523    -1.6062    -1.0100     0.7116     0.2879   -12.6484     2.1196     0.3052
    1.0515    -1.6599     1.3530    -1.5956    -1.0213     0.7105     0.2751   -18.3967     2.1397     0.3196
